Methode,Anzahl_Cluster,Noise_Punkte,Noise_Prozent,Silhouette_Score,Davies_Bouldin
K-Means,4,0,0.0,0.33524664907155255,1.0128141458388717
HAC,4,0,0.0,0.26334153256631043,1.1628765378745083
DBSCAN,3,157,3.6,0.17304878862064618,1.6929949717022588
OPTICS,4,1386,32.1,0.12226093459747048,2.4531651611398195
