Methode,ARI,NMI,Homogeneity,Completeness,V-Measure
K-Means,0.3505387860251855,0.45001069291904805,0.4605887842029062,0.43990757566681743,0.45001069291904805
HAC,0.40897353307176737,0.517743583573189,0.5348811314784357,0.501670113965193,0.517743583573189
DBSCAN,0.3552070452192855,0.42118100051324486,0.3850905772708078,0.4647357107182164,0.4211810005132449
OPTICS,0.2729586264650115,0.3692431381307399,0.3927560963009567,0.34838643891600424,0.36924313813073983
